2015-09-22 11:37:24,994 [pool-1-thread-1] INFO  marytts.R 1 Next module: XML2Utt TokensEn
2015-09-22 11:37:24,999 [pool-1-thread-1] INFO  marytts.R 1 Next module: TokenToWords
2015-09-22 11:37:25,002 [pool-1-thread-1] INFO  marytts.R 1 Next module: Utt2XML WordsEn
2015-09-22 11:37:25,004 [pool-1-thread-1] INFO  marytts.R 1 Next module: OpenNLPPosTagger
2015-09-22 11:37:25,009 [pool-1-thread-1] INFO  marytts.R 1 Next module: JPhonemiser
2015-09-22 11:37:25,019 [pool-1-thread-1] INFO  marytts.R 1 Next module: Prosody
2015-09-22 11:37:25,025 [pool-1-thread-1] INFO  marytts.R 1 Next module: PronunciationModel
2015-09-22 11:37:25,027 [pool-1-thread-1] INFO  marytts.R 1 Next module: AcousticModeller
2015-09-22 11:37:25,104 [pool-1-thread-1] INFO  marytts.R 1 Next module: Synthesis
2015-09-22 11:37:25,167 [pool-1-thread-1] INFO  marytts.Synthesis Audio format conversion required for voice cmu-slt
2015-09-22 11:37:25,303 [pool-1-thread-1] INFO  marytts.Synthesis Audio format conversion required for voice cmu-slt
2015-09-22 11:37:25,304 [pool-1-thread-1] INFO  marytts.R 1 Next module: Realised acoustparams extractor
2015-09-22 11:37:25,308 [pool-1-thread-1] INFO  marytts.R 1 Request processed in 404 ms.
2015-09-22 11:37:25,308 [pool-1-thread-1] INFO  marytts.R 1    SSMLParser took 87 ms
2015-09-22 11:37:25,308 [pool-1-thread-1] INFO  marytts.R 1    JTokeniser took 1 ms
2015-09-22 11:37:25,308 [pool-1-thread-1] INFO  marytts.R 1    XML2Utt TokensEn took 5 ms
2015-09-22 11:37:25,308 [pool-1-thread-1] INFO  marytts.R 1    TokenToWords took 3 ms
2015-09-22 11:37:25,308 [pool-1-thread-1] INFO  marytts.R 1    Utt2XML WordsEn took 2 ms
2015-09-22 11:37:25,308 [pool-1-thread-1] INFO  marytts.R 1    OpenNLPPosTagger took 5 ms
2015-09-22 11:37:25,308 [pool-1-thread-1] INFO  marytts.R 1    JPhonemiser took 10 ms
2015-09-22 11:37:25,308 [pool-1-thread-1] INFO  marytts.R 1    Prosody took 6 ms
2015-09-22 11:37:25,308 [pool-1-thread-1] INFO  marytts.R 1    PronunciationModel took 2 ms
2015-09-22 11:37:25,308 [pool-1-thread-1] INFO  marytts.R 1    AcousticModeller took 76 ms
2015-09-22 11:37:25,308 [pool-1-thread-1] INFO  marytts.R 1    Synthesis took 201 ms
2015-09-22 11:37:25,308 [pool-1-thread-1] INFO  marytts.R 1    Realised acoustparams extractor took 0 ms
2015-09-22 11:37:25,318 [pool-1-thread-1] INFO  marytts.R 1 New request (input type "ACOUSTPARAMS", output type "AUDIO", voice "cmu-slt", audio "WAVE")
2015-09-22 11:37:25,319 [pool-1-thread-1] INFO  marytts.R 1 Handling request using the following modules:
2015-09-22 11:37:25,319 [pool-1-thread-1] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2015-09-22 11:37:25,319 [pool-1-thread-1] INFO  marytts.R 1 Next module: Synthesis
2015-09-22 11:37:25,334 [pool-1-thread-1] INFO  marytts.Synthesis Audio format conversion required for voice cmu-slt
2015-09-22 11:37:25,443 [pool-1-thread-1] INFO  marytts.Synthesis Audio format conversion required for voice cmu-slt
